chrom	start	end	strand	gene_id	Newton_RNA_run1/newton_direct_RNA_newton_scaffolds_minimap_sorted_G_25000_no_secondary_pa_tag.bam
Gpscaff_1	72791	74312	-	GPALN_000008	126.0399971
Gpscaff_1	111942	115082	-	GPALN_000013	138.5399933
Gpscaff_1	122552	123151	+	GPALN_000014	115.4700012
Gpscaff_1	128049	132960	+	GPALN_000015	151.3199997
Gpscaff_1	196540	211286	-	GPALN_000023	100.4300003
Gpscaff_1	212995	216742	-	GPALN_000024	98.56999969
Gpscaff_1	219209	222283	-	GPALN_000025	170.4600067
Gpscaff_1	222283	223103	+	GPALN_000026	89.59999847
Gpscaff_1	223436	225414	+	GPALN_000027	102.8899994
Gpscaff_1	235302	238256	+	GPALN_000030	102.1200027
Gpscaff_1	243141	244781	+	GPALN_000032	80.90999985
Gpscaff_1	245639	246702	-	GPALN_000033	81.65000153
Gpscaff_1	246804	249904	-	GPALN_000034	165.5699997
Gpscaff_1	252680	257785	+	GPALN_000035	142.6900024
Gpscaff_1	257918	259534	-	GPALN_000036	122.5999985
Gpscaff_1	259779	273997	+	GPALN_000037	138.8800049
Gpscaff_1	274830	279220	-	GPALN_000038	79.81999969
Gpscaff_1	294192	303903	-	GPALN_000041	137.8149948
Gpscaff_1	304708	306961	-	GPALN_000042	96.5
Gpscaff_1	307672	315178	+	GPALN_000043	101.0849991
Gpscaff_1	321045	322016	-	GPALN_000044	61.7349987
Gpscaff_1	324587	328383	-	GPALN_000046	129.0700073
Gpscaff_1	329118	334486	+	GPALN_000047	112.4499969
Gpscaff_1	334972	336842	+	GPALN_000048	99.81000137
Gpscaff_1	337366	343076	-	GPALN_000049	108.4799995
Gpscaff_1	354078	358950	-	GPALN_000052	102.3099976
Gpscaff_1	359870	366092	+	GPALN_000053	140.2900009
Gpscaff_1	367002	367654	+	GPALN_000054	56.75999832
Gpscaff_1	367856	370657	+	GPALN_000055	97.63999939
Gpscaff_1	372355	374033	-	GPALN_000056	111.2400017
Gpscaff_1	374568	377666	-	GPALN_000057	88.06999969
Gpscaff_1	378191	379876	+	GPALN_000058	119.0400009
Gpscaff_1	380559	382502	-	GPALN_000059	107.2399979
Gpscaff_1	383436	385037	-	GPALN_000060	121.1900024
Gpscaff_1	385317	389612	+	GPALN_000061	94.94500351
Gpscaff_1	399827	404766	-	GPALN_000063	153.9400024
Gpscaff_1	412148	415554	-	GPALN_000065	97.41500092
Gpscaff_1	417790	424324	+	GPALN_000066	98.81000137
Gpscaff_1	424331	427370	-	GPALN_000067	104.4499969
Gpscaff_1	435260	437979	-	GPALN_000069	114.6549988
